sample_name,specimen_id,campaign_id,series_id,n_steel_mesh,week,ageing_days,ultimate_load_kn,terminal_ultimate_load_kn_target,predicted_ultimate_load_kn,predicted_ultimate_load_kn_std,prediction_count,is_measured_ultimate_load,residual,abs_error,feature_set_name,feature_set_label,model_name,feature_set_model_label
F03-20240918-36W,F03,campaign_2,F,4,36,252,2.39,2.39,1.735989576902785,0.0303254472890053,2,True,-0.654010423097215,0.654010423097215,hsv_only,HSV-only,CatBoost,HSV-only | CatBoost
F03-20240918-36W,F03,campaign_2,F,4,36,252,2.39,2.39,1.7736553418599792,0.0351240631015082,2,True,-0.6163446581400209,0.6163446581400209,rgb_hsv,RGB+HSV,CatBoost,RGB+HSV | CatBoost
F03-20240918-36W,F03,campaign_2,F,4,36,252,2.39,2.39,1.822247095211196,0.0318850796758641,2,True,-0.5677529047888039,0.5677529047888039,rgb_only,RGB-only,CatBoost,RGB-only | CatBoost
F03-20240918-36W,F03,campaign_2,F,4,36,252,2.39,2.39,1.8613102442847145,0.0127589202009617,2,True,-0.5286897557152856,0.5286897557152856,metadata_hsv,metadata+HSV,Ridge,metadata+HSV | Ridge
F03-20240918-36W,F03,campaign_2,F,4,36,252,2.39,2.39,1.8130187866084728,0.0348059111088131,2,True,-0.5769812133915273,0.5769812133915273,metadata_rgb,metadata+RGB,Ridge,metadata+RGB | Ridge
F03-20240918-36W,F03,campaign_2,F,4,36,252,2.39,2.39,1.7644303733609463,0.017372464534154,2,True,-0.6255696266390536,0.6255696266390536,metadata_rgb_hsv,metadata+RGB+HSV,CatBoost,metadata+RGB+HSV | CatBoost
F03-20240918-36W,F03,campaign_2,F,4,36,252,2.39,2.39,1.7796636964461945,0.0046528704950603,2,True,-0.6103363035538059,0.6103363035538059,metadata_only,metadata-only,Ridge,metadata-only | Ridge
F04-20240918-36W,F04,campaign_2,F,4,36,252,2.01,2.01,1.829063721465036,0.0043284065099948,2,True,-0.1809362785349637,0.1809362785349637,hsv_only,HSV-only,CatBoost,HSV-only | CatBoost
F04-20240918-36W,F04,campaign_2,F,4,36,252,2.01,2.01,1.7686222453734533,0.0394892685411149,2,True,-0.2413777546265465,0.2413777546265465,rgb_hsv,RGB+HSV,CatBoost,RGB+HSV | CatBoost
F04-20240918-36W,F04,campaign_2,F,4,36,252,2.01,2.01,1.7591920442746798,0.0108579618401461,2,True,-0.25080795572532,0.25080795572532,rgb_only,RGB-only,CatBoost,RGB-only | CatBoost
F04-20240918-36W,F04,campaign_2,F,4,36,252,2.01,2.01,1.9489204150382065,0.0402518457878039,2,True,-0.0610795849617935,0.0610795849617935,metadata_hsv,metadata+HSV,Ridge,metadata+HSV | Ridge
F04-20240918-36W,F04,campaign_2,F,4,36,252,2.01,2.01,1.9376955477985256,0.0092863838169203,2,True,-0.0723044522014739,0.0723044522014739,metadata_rgb,metadata+RGB,Ridge,metadata+RGB | Ridge
F04-20240918-36W,F04,campaign_2,F,4,36,252,2.01,2.01,1.6844094749402876,0.0370707899882739,2,True,-0.3255905250597122,0.3255905250597122,metadata_rgb_hsv,metadata+RGB+HSV,CatBoost,metadata+RGB+HSV | CatBoost
