specimen_id,family,criterion,rmse,fit_succeeded,params
E03,monotone_isotonic,-479.042939556472,4.1375569220787883e-17,True,"{""x"": [0.0, 14.0, 28.0, 42.0, 56.0, 70.0, 84.0, 98.0, 119.0, 133.0, 140.0, 161.0, 168.0, 182.0, 196.0, 210.0, 231.0, 252.0], ""y"": [0.2942443029493413, 0.2942443029493413, 0.2942443029493413, 0.2942443029493413, 0.2942443029493413, 0.2942443029493413, 0.2942443029493413, 0.2942443029493413, 0.2942443029493413, 0.2942443029493413, 0.29424430294934134, 0.29424430294934134, 0.29424430294934134, 0.29424430294934134, 0.29424430294934134, 0.29424430294934134, 0.3186420126154809, 0.3186420126154809]}"
E04,linear,-173.30958255271128,0.0069103755719519,True,"{""coeffs"": [6.388325956469255e-05, 0.4045330440462136]}"
E04,log_time,-168.00882156967492,0.0080066092088288,True,"{""coeffs"": [0.0019565130195227684, 0.40371291305611384]}"
E04,logistic,-170.51645327565404,0.0068917345907476,True,"{""params"": [199.6118223679399, 0.00015699481029715233, 39488.36073765787]}"
E04,gompertz,,,False,"{""error"": ""Optimal parameters not found: Number of calls to function has reached maxfev = 20000.""}"
E04,monotone_isotonic,-479.042939556472,4.7175407225030635e-17,True,"{""x"": [0.0, 14.0, 28.0, 42.0, 56.0, 70.0, 84.0, 98.0, 119.0, 133.0, 140.0, 161.0, 168.0, 182.0, 196.0, 210.0, 231.0, 252.0], ""y"": [0.40931457164236956, 0.40931457164236956, 0.40931457164236956, 0.40931457164236956, 0.40931457164236956, 0.40931457164236956, 0.40931457164236956, 0.40931457164236956, 0.40931457164236956, 0.40931457164236956, 0.40931457164236956, 0.40931457164236956, 0.40931457164236956, 0.4093145716423696, 0.4093145716423696, 0.4093145716423696, 0.43604134272160977, 0.43604134272160977]}"
E05,linear,-181.6449092632311,0.0054820939117925,True,"{""coeffs"": [5.067944928297747e-05, 0.25951434317075156]}"
E05,log_time,-176.34414833996925,0.0063517508043958,True,"{""coeffs"": [0.001552128100852148, 0.2588637222224562]}"
E05,logistic,-178.87471516417426,0.0054638237231821,True,"{""params"": [173.37782197734882, 0.0001936798704760597, 33576.3902114756]}"
E05,gompertz,,,False,"{""error"": ""Optimal parameters not found: Number of calls to function has reached maxfev = 20000.""}"
E05,monotone_isotonic,-479.042939556472,0.0,True,"{""x"": [0.0, 14.0, 28.0, 42.0, 56.0, 70.0, 84.0, 98.0, 119.0, 133.0, 140.0, 161.0, 168.0, 182.0, 196.0, 210.0, 231.0, 252.0], ""y"": [0.26330759334232656, 0.26330759334232656, 0.26330759334232656, 0.26330759334232656, 0.26330759334232656, 0.26330759334232656, 0.26330759334232656, 0.26330759334232656, 0.26330759334232656, 0.26330759334232656, 0.26330759334232656, 0.26330759334232656, 0.26330759334232656, 0.26330759334232656, 0.26330759334232656, 0.26330759334232656, 0.28451030041516223, 0.28451030041516223]}"
E06,linear,-250.14339127969,0.0008177085884761,True,"{""coeffs"": [7.559341668479169e-06, 0.0535640219695995]}"
E06,log_time,-244.84263744357108,0.0009474265250075,True,"{""coeffs"": [0.00023151527480252658, 0.05346697541296918]}"
E06,logistic,-247.33993308564897,0.000815736800756,True,"{""params"": [22.180685494362287, 0.00014047412154288318, 42881.647353118984]}"
E06,gompertz,,,False,"{""error"": ""Optimal parameters not found: Number of calls to function has reached maxfev = 20000.""}"
E06,monotone_isotonic,-479.042939556472,5.896925903128829e-18,True,"{""x"": [0.0, 14.0, 28.0, 42.0, 56.0, 70.0, 84.0, 98.0, 119.0, 133.0, 140.0, 161.0, 168.0, 182.0, 196.0, 210.0, 231.0, 252.0], ""y"": [0.054129822791957376, 0.054129822791957376, 0.054129822791957376, 0.054129822791957376, 0.054129822791957376, 0.054129822791957376, 0.054129822791957376, 0.054129822791957376, 0.054129822791957376, 0.054129822791957376, 0.054129822791957376, 0.054129822791957376, 0.054129822791957376, 0.05412982279195738, 0.05412982279195738, 0.05412982279195738, 0.057292416492715714, 0.057292416492715714]}"
F01,linear,-175.5300239025711,0.0064970294218278,True,"{""coeffs"": [6.006206357852563e-05, 0.2122532414994062]}"
F01,log_time,-170.2292629328597,0.0075276915208452,True,"{""coeffs"": [0.0018394836170153707, 0.21148216688602905]}"
F01,logistic,-172.81343313818883,0.006465742213277,True,"{""params"": [248.4106283046722, 0.0002792505405574344, 25298.14654915691]}"
F01,gompertz,,,False,"{""error"": ""Optimal parameters not found: Number of calls to function has reached maxfev = 20000.""}"
F01,monotone_isotonic,-479.042939556472,0.0,True,"{""x"": [0.0, 14.0, 28.0, 42.0, 56.0, 70.0, 84.0, 98.0, 119.0, 133.0, 140.0, 161.0, 168.0, 182.0, 196.0, 210.0, 231.0, 252.0], ""y"": [0.21674876061411208, 0.21674876061411208, 0.21674876061411208, 0.21674876061411208, 0.21674876061411208, 0.21674876061411208, 0.21674876061411208, 0.21674876061411208, 0.21674876061411208, 0.21674876061411208, 0.21674876061411208, 0.21674876061411208, 0.21674876061411208, 0.21674876061411208, 0.21674876061411208, 0.21674876061411208, 0.24187686200950861, 0.24187686200950861]}"
F02,linear,-175.53002390257114,0.0064970294218278,True,"{""coeffs"": [6.0062063578525435e-05, 0.4041759518882793]}"
F02,log_time,-170.2292629328597,0.0075276915208452,True,"{""coeffs"": [0.001839483617015355, 0.40340487727490226]}"
F02,logistic,-172.73117186693864,0.0064805335558626,True,"{""params"": [186.10643136445208, 0.00014782481265286672, 41468.938928792646]}"
F02,gompertz,,,False,"{""error"": ""Optimal parameters not found: Number of calls to function has reached maxfev = 20000.""}"
F02,monotone_isotonic,-479.042939556472,4.8956233716268386e-17,True,"{""x"": [0.0, 14.0, 28.0, 42.0, 56.0, 70.0, 84.0, 98.0, 119.0, 133.0, 140.0, 161.0, 168.0, 182.0, 196.0, 210.0, 231.0, 252.0], ""y"": [0.4086714710029852, 0.4086714710029852, 0.4086714710029852, 0.4086714710029852, 0.4086714710029852, 0.4086714710029852, 0.4086714710029852, 0.4086714710029852, 0.4086714710029852, 0.4086714710029852, 0.4086714710029852, 0.4086714710029852, 0.4086714710029852, 0.4086714710029852, 0.40867147100298523, 0.40867147100298523, 0.43379957239838174, 0.43379957239838174]}"
F03,linear,-175.53002390257114,0.0064970294218278,True,"{""coeffs"": [6.0062063578525333e-05, 0.3574091629674051]}"
F03,log_time,-170.22926293285974,0.0075276915208452,True,"{""coeffs"": [0.0018394836170153612, 0.3566380883540282]}"
F03,logistic,-172.74311393536544,0.0064783841630208,True,"{""params"": [188.93125381367372, 0.00016695868320948918, 37545.07844887317]}"
F03,gompertz,,,False,"{""error"": ""Optimal parameters not found: Number of calls to function has reached maxfev = 20000.""}"
F03,monotone_isotonic,-479.042939556472,5.067451620406765e-17,True,"{""x"": [0.0, 14.0, 28.0, 42.0, 56.0, 70.0, 84.0, 98.0, 119.0, 133.0, 140.0, 161.0, 168.0, 182.0, 196.0, 210.0, 231.0, 252.0], ""y"": [0.3619046820821111, 0.3619046820821111, 0.3619046820821111, 0.3619046820821111, 0.3619046820821111, 0.3619046820821111, 0.3619046820821111, 0.3619046820821111, 0.3619046820821111, 0.3619046820821111, 0.3619046820821111, 0.3619046820821111, 0.3619046820821111, 0.3619046820821111, 0.3619046820821111, 0.36190468208211113, 0.38703278347750764, 0.38703278347750764]}"
F04,linear,-179.54112635950574,0.0058120046431596,True,"{""coeffs"": [5.372932300773479e-05, 0.20101187882889948]}"
F04,log_time,-174.2403654184552,0.0067339972210126,True,"{""coeffs"": [0.0016455346942390394, 0.20032210371134895]}"
F04,logistic,-176.81497785737108,0.0057855520698365,True,"{""params"": [221.74850088340446, 0.00026399543639238, 26535.73096676319]}"
F04,gompertz,,,False,"{""error"": ""Optimal parameters not found: Number of calls to function has reached maxfev = 20000.""}"
F04,monotone_isotonic,-479.042939556472,0.0,True,"{""x"": [0.0, 14.0, 28.0, 42.0, 56.0, 70.0, 84.0, 98.0, 119.0, 133.0, 140.0, 161.0, 168.0, 182.0, 196.0, 210.0, 231.0, 252.0], ""y"": [0.20503340563318062, 0.20503340563318062, 0.20503340563318062, 0.20503340563318062, 0.20503340563318062, 0.20503340563318062, 0.20503340563318062, 0.20503340563318062, 0.20503340563318062, 0.20503340563318062, 0.20503340563318062, 0.20503340563318062, 0.20503340563318062, 0.20503340563318062, 0.20503340563318062, 0.20503340563318062, 0.22751208511909624, 0.22751208511909624]}"
F05,linear,-174.70564375956204,0.0066475243648264,True,"{""coeffs"": [6.145332045112997e-05, 0.2144196783331614]}"
F05,log_time,-169.4048827847107,0.0077020603643253,True,"{""coeffs"": [0.0018820927794672934, 0.21363074281406058]}"
F05,logistic,-171.99126781124127,0.0066151054387636,True,"{""params"": [260.417091811626, 0.0002827725488119224, 25114.200592557285]}"
