specimen_id,best_family,criterion,best_model_name,last_observed_day,last_observed_predicted_wire_area_loss_frac,params
G03,monotone_isotonic,-479.042939556472,CatBoost,252.0,0.24339741164420947,"{""x"": [0.0, 14.0, 28.0, 42.0, 56.0, 70.0, 84.0, 98.0, 119.0, 133.0, 140.0, 161.0, 168.0, 182.0, 196.0, 210.0, 231.0, 252.0], ""y"": [0.049363754450594516, 0.049363754450594516, 0.049363754450594516, 0.049363754450594516, 0.049363754450594516, 0.049363754450594516, 0.049363754450594516, 0.049363754450594516, 0.24254610784957975, 0.24254610784957975, 0.24254610784957975, 0.24254610784957975, 0.24339741164420947, 0.24339741164420947, 0.24339741164420947, 0.24339741164420947, 0.24339741164420947, 0.24339741164420947]}"
G04,monotone_isotonic,-479.042939556472,CatBoost,252.0,0.2523166020501365,"{""x"": [0.0, 14.0, 28.0, 42.0, 56.0, 70.0, 84.0, 98.0, 119.0, 133.0, 140.0, 161.0, 168.0, 182.0, 196.0, 210.0, 231.0, 252.0], ""y"": [0.0732651685944296, 0.0732651685944296, 0.0732651685944296, 0.0732651685944296, 0.0732651685944296, 0.0732651685944296, 0.0732651685944296, 0.07326516859442961, 0.19972967609095574, 0.19972967609095574, 0.19972967609095574, 0.19972967609095574, 0.19972967609095574, 0.19972967609095574, 0.19972967609095574, 0.19972967609095574, 0.19972967609095574, 0.2523166020501365]}"
G05,monotone_isotonic,-479.042939556472,CatBoost,252.0,0.2769167277540362,"{""x"": [0.0, 14.0, 28.0, 42.0, 56.0, 70.0, 84.0, 98.0, 119.0, 133.0, 140.0, 161.0, 168.0, 182.0, 196.0, 210.0, 231.0, 252.0], ""y"": [0.2516781092889798, 0.2516781092889798, 0.2516781092889798, 0.2516781092889798, 0.2516781092889798, 0.25522668262231407, 0.25522668262231407, 0.25522668262231407, 0.25522668262231407, 0.25522668262231407, 0.27691672775403614, 0.27691672775403614, 0.27691672775403614, 0.27691672775403614, 0.27691672775403614, 0.27691672775403614, 0.2769167277540362, 0.2769167277540362]}"
G06,monotone_isotonic,-479.042939556472,CatBoost,252.0,0.42779920588127424,"{""x"": [0.0, 14.0, 28.0, 42.0, 56.0, 70.0, 84.0, 98.0, 119.0, 133.0, 140.0, 161.0, 168.0, 182.0, 196.0, 210.0, 231.0, 252.0], ""y"": [0.2761733574070684, 0.2761733574070684, 0.2761733574070684, 0.2761733574070684, 0.2761733574070684, 0.2761733574070684, 0.2761733574070684, 0.3011513316727221, 0.3011513316727221, 0.3011513316727221, 0.3011513316727221, 0.3011513316727221, 0.3176902245701117, 0.3176902245701117, 0.3176902245701117, 0.3176902245701117, 0.3176902245701117, 0.42779920588127424]}"
S1MI01,monotone_isotonic,-397.24893771525143,CatBoost,196.0,0.23994401263479148,"{""x"": [0.0, 14.0, 21.0, 28.0, 35.0, 42.0, 49.0, 56.0, 63.0, 70.0, 91.0, 105.0, 168.0, 175.0, 196.0], ""y"": [0.22960701086412044, 0.23171858027672285, 0.23171858027672285, 0.23171858027672285, 0.23171858027672285, 0.23994401263479145, 0.23994401263479145, 0.23994401263479145, 0.23994401263479145, 0.23994401263479145, 0.23994401263479145, 0.23994401263479145, 0.23994401263479145, 0.23994401263479145, 0.23994401263479145]}"
S1MI02,monotone_isotonic,-397.24893771525143,CatBoost,196.0,0.2513561099691889,"{""x"": [0.0, 14.0, 21.0, 28.0, 35.0, 42.0, 49.0, 56.0, 63.0, 70.0, 91.0, 105.0, 168.0, 175.0, 196.0], ""y"": [0.21723589554266917, 0.21871159539319737, 0.25135610996918883, 0.25135610996918883, 0.25135610996918883, 0.25135610996918883, 0.25135610996918883, 0.25135610996918883, 0.25135610996918883, 0.25135610996918883, 0.25135610996918883, 0.25135610996918883, 0.25135610996918883, 0.25135610996918883, 0.2513561099691889]}"
S1MI03,linear,-408.08113851966027,CatBoost,196.0,0.2645666463260317,"{""coeffs"": [1.5784112721782184e-18, 0.2645666463260316]}"
S1MI04,monotone_isotonic,-397.24893771525143,CatBoost,196.0,0.23954009868806003,"{""x"": [0.0, 14.0, 21.0, 28.0, 35.0, 42.0, 49.0, 56.0, 63.0, 70.0, 91.0, 105.0, 168.0, 175.0, 196.0], ""y"": [0.22767002215651175, 0.22767002215651175, 0.22767002215651175, 0.22767002215651175, 0.2286439800044578, 0.2310638910101798, 0.2310638910101798, 0.2310638910101798, 0.2310638910101798, 0.2310638910101798, 0.2310638910101798, 0.2310638910101798, 0.2310638910101798, 0.2310638910101798, 0.23954009868806003]}"
S1MI05,monotone_isotonic,-397.24893771525143,CatBoost,196.0,0.41125205185593305,"{""x"": [0.0, 14.0, 21.0, 28.0, 35.0, 42.0, 49.0, 56.0, 63.0, 70.0, 91.0, 105.0, 168.0, 175.0, 196.0], ""y"": [0.2466546001101385, 0.2466546001101385, 0.25076529734575986, 0.25608330042977806, 0.25608330042977806, 0.25608330042977806, 0.25608330042977806, 0.25608330042977806, 0.25608330042977806, 0.25608330042977806, 0.25608330042977806, 0.25608330042977806, 0.25608330042977806, 0.25608330042977806, 0.41125205185593305]}"
S1MI06,linear,-408.08113851966027,CatBoost,196.0,0.2508156358730097,"{""coeffs"": [1.2820786798391252e-18, 0.2508156358730096]}"
