feature,importance,importance_abs,importance_kind,direction,n_steel_mesh,split_name,repeat_id,fold_id,split_id
img_hsv_v_mean_mean,0.11731420534203083,0.11731420534203083,coefficient,positive,7,grouped_cv,0,2,grouped_cv_repeat0_fold2
img_hsv_v_mean_slope,0.10026925551309035,0.10026925551309035,coefficient,positive,7,grouped_cv,0,2,grouped_cv_repeat0_fold2
peak_rust_pct_slope,-0.09979110550423959,0.09979110550423959,coefficient,negative,7,grouped_cv,0,2,grouped_cv_repeat0_fold2
img_strip_rust_max_pct_terminal,0.09489176221986421,0.09489176221986421,coefficient,positive,7,grouped_cv,0,2,grouped_cv_repeat0_fold2
img_strip_rust_max_pct_mean,0.06324615724390607,0.06324615724390607,coefficient,positive,7,grouped_cv,0,2,grouped_cv_repeat0_fold2
img_hsv_v_mean_terminal,-0.06144873217481286,0.06144873217481286,coefficient,negative,7,grouped_cv,0,2,grouped_cv_repeat0_fold2
peak_rust_pct_terminal,-0.04980000993332632,0.04980000993332632,coefficient,negative,7,grouped_cv,0,2,grouped_cv_repeat0_fold2
n_rows_post_onset,0.049730539150072875,0.049730539150072875,coefficient,positive,7,grouped_cv,0,2,grouped_cv_repeat0_fold2
img_hsv_s_mean_slope,0.043210309826993705,0.043210309826993705,coefficient,positive,7,grouped_cv,0,2,grouped_cv_repeat0_fold2
peak_rust_pct_max,-0.04320829843250539,0.04320829843250539,coefficient,negative,7,grouped_cv,0,2,grouped_cv_repeat0_fold2
img_rust_area_ratio_pct_slope,-0.024221545273208682,0.024221545273208682,coefficient,negative,7,grouped_cv,0,2,grouped_cv_repeat0_fold2
surface_total_rust_pct_slope,-0.02420354678182603,0.02420354678182603,coefficient,negative,7,grouped_cv,0,2,grouped_cv_repeat0_fold2
img_rust_area_ratio_pct_terminal,-0.02376166331832251,0.02376166331832251,coefficient,negative,7,grouped_cv,0,2,grouped_cv_repeat0_fold2
surface_total_rust_pct_terminal,-0.023737375033491645,0.023737375033491645,coefficient,negative,7,grouped_cv,0,2,grouped_cv_repeat0_fold2
img_rust_area_ratio_pct_max,-0.022167405479566613,0.022167405479566613,coefficient,negative,7,grouped_cv,0,2,grouped_cv_repeat0_fold2
surface_total_rust_pct_max,-0.022159837353080306,0.022159837353080306,coefficient,negative,7,grouped_cv,0,2,grouped_cv_repeat0_fold2
visible_corrosion_onset_week,-0.017647860292050142,0.017647860292050142,coefficient,negative,7,grouped_cv,0,2,grouped_cv_repeat0_fold2
weeks_after_onset_at_terminal,0.017647860292050142,0.017647860292050142,coefficient,positive,7,grouped_cv,0,2,grouped_cv_repeat0_fold2
img_strip_rust_max_pct_slope,0.016876202809990897,0.016876202809990897,coefficient,positive,7,grouped_cv,0,2,grouped_cv_repeat0_fold2
surface_total_rust_pct_mean,-0.011767987890613297,0.011767987890613297,coefficient,negative,7,grouped_cv,0,2,grouped_cv_repeat0_fold2
img_rust_area_ratio_pct_mean,-0.011757716091197523,0.011757716091197523,coefficient,negative,7,grouped_cv,0,2,grouped_cv_repeat0_fold2
img_hsv_s_mean_terminal,0.008719741960388484,0.008719741960388484,coefficient,positive,7,grouped_cv,0,2,grouped_cv_repeat0_fold2
img_hsv_s_mean_max,0.0086216006592709,0.0086216006592709,coefficient,positive,7,grouped_cv,0,2,grouped_cv_repeat0_fold2
img_strip_rust_max_pct_max,-0.005319033972110286,0.005319033972110286,coefficient,negative,7,grouped_cv,0,2,grouped_cv_repeat0_fold2
img_hsv_s_mean_mean,-0.004796229713250399,0.004796229713250399,coefficient,negative,7,grouped_cv,0,2,grouped_cv_repeat0_fold2
peak_rust_pct_mean,-0.004161895779654193,0.004161895779654193,coefficient,negative,7,grouped_cv,0,2,grouped_cv_repeat0_fold2
has_visible_corrosion_onset,0.0,0.0,coefficient,positive,7,grouped_cv,0,2,grouped_cv_repeat0_fold2
img_hsv_v_mean_max,0.16075617580157456,0.16075617580157456,coefficient,positive,4,grouped_cv,0,3,grouped_cv_repeat0_fold3
img_hsv_s_mean_mean,0.1454169543251429,0.1454169543251429,coefficient,positive,4,grouped_cv,0,3,grouped_cv_repeat0_fold3
img_hsv_s_mean_slope,-0.1321589144722029,0.1321589144722029,coefficient,negative,4,grouped_cv,0,3,grouped_cv_repeat0_fold3
img_strip_rust_max_pct_terminal,-0.11612196734222949,0.11612196734222949,coefficient,negative,4,grouped_cv,0,3,grouped_cv_repeat0_fold3
surface_total_rust_pct_mean,0.11130949367956731,0.11130949367956731,coefficient,positive,4,grouped_cv,0,3,grouped_cv_repeat0_fold3
img_rust_area_ratio_pct_mean,0.11130412780540021,0.11130412780540021,coefficient,positive,4,grouped_cv,0,3,grouped_cv_repeat0_fold3
img_strip_rust_max_pct_max,-0.10830803722572142,0.10830803722572142,coefficient,negative,4,grouped_cv,0,3,grouped_cv_repeat0_fold3
has_visible_corrosion_onset,0.10325428784467246,0.10325428784467246,coefficient,positive,4,grouped_cv,0,3,grouped_cv_repeat0_fold3
n_rows_post_onset,0.10024933070753318,0.10024933070753318,coefficient,positive,4,grouped_cv,0,3,grouped_cv_repeat0_fold3
peak_rust_pct_terminal,-0.09174170777627152,0.09174170777627152,coefficient,negative,4,grouped_cv,0,3,grouped_cv_repeat0_fold3
img_hsv_v_mean_terminal,0.08560557955683944,0.08560557955683944,coefficient,positive,4,grouped_cv,0,3,grouped_cv_repeat0_fold3
img_hsv_v_mean_slope,-0.05077010547706888,0.05077010547706888,coefficient,negative,4,grouped_cv,0,3,grouped_cv_repeat0_fold3
img_strip_rust_max_pct_mean,-0.0438743415061586,0.0438743415061586,coefficient,negative,4,grouped_cv,0,3,grouped_cv_repeat0_fold3
